region;industry_name;year_2016;year_2017;year_2018;year_2019;growth;growth_percentage
Northland;Agriculture;7299;7352;7425;743;131;0.6
Northland;Fishing;187;173;157;138;-48;-9.5
Northland;Forestry and logging;690;727;779;827;137;6.2
Northland;Mining and quarrying;136;119;103;84;-52;-14.9
Northland;Food, beverage and tobacco manufacturing;1843;1871;1907;194;97;1.7
Northland;Textiles and apparel manufacturing;263;275;287;296;33;4.1
Northland;Wood and paper products manufacturing;119;1202;1209;1214;24;0.7
Northland;Printing, publishing and recorded media;98;95;91;87;-11;-3.8
Northland;Chemicals manufacturing;636;655;673;686;50;2.6
Northland;Non-metallic mineral products manufacturing;325;332;321;314;-11;-1.1
Northland;Metal product manufacturing;699;702;703;695;-3;-0.2
Northland;Machinery and equipment manufacturing;940;911;875;834;-106;-3.9
Northland;Furniture and other manufacturing;278;288;298;305;27;3.1
Northland;Electricity, gas and water supply;701;704;706;702;2;0.1
Northland;Construction;6087;6203;6213;615;63;0.3
Northland;Wholesale trade;2092;2096;2103;2102;10;0.2
Northland;Retail trade (including motor vehicle repairs);6584;6547;6568;6575;-9;0.0
Northland;Accommodation, cafes and restaurants;4027;3999;3993;3965;-62;-0.5
Northland;Transport and storage;2682;2749;2834;2908;226;2.7
Northland;Communication services;447;428;412;395;-53;-4.1
Northland;Finance and insurance;1315;136;1413;1466;151;3.7
Northland;Property services;1612;1596;1594;1591;-20;-0.4
Northland;Business services;5167;5107;5054;4991;-176;-1.1
Northland;Government admin. and defence;368;3661;3616;3556;-124;-1.1
Northland;Education;5784;5858;5917;5931;147;0.8
Northland;Health and community services;7479;7636;7865;8191;712;3.1
Northland;Cultural and recreational services;1718;1783;1869;1946;227;4.2
Northland;Personal and other community services;2645;2687;2754;2806;161;2.0
Auckland;Agriculture;17314;1773;18203;18518;1205;2.3
Auckland;Fishing;536;583;638;702;166;9.4
Auckland;Forestry and logging;395;397;407;414;19;1.6
Auckland;Mining and quarrying;388;353;248;279;-109;-10.4
Auckland;Food, beverage and tobacco manufacturing;19984;20318;2073;2112;1136;1.9
Auckland;Textiles and apparel manufacturing;4627;4678;4738;4755;128;0.9
Auckland;Wood and paper products manufacturing;5578;568;5763;5834;256;1.5
Auckland;Printing, publishing and recorded media;4864;4925;4969;4994;129;0.9
Auckland;Chemicals manufacturing;9311;9387;945;9422;111;0.4
Auckland;Non-metallic mineral products manufacturing;3372;3458;3526;3631;259;2.5
Auckland;Metal product manufacturing;10956;10973;10959;10809;-147;-0.4
Auckland;Machinery and equipment manufacturing;17108;17383;17536;17622;515;1.0
Auckland;Furniture and other manufacturing;4336;4341;434;4314;-23;-0.2
Auckland;Electricity, gas and water supply;3635;3581;3517;3426;-209;-2.0
Auckland;Construction;58254;61854;64696;67041;8787;4.8
Auckland;Wholesale trade;55231;55955;56789;5743;2198;1.3
Auckland;Retail trade (including motor vehicle repairs);74396;76092;78552;80953;6557;2.9
Auckland;Accommodation, cafes and restaurants;56106;58054;60489;62732;6626;3.8
Auckland;Transport and storage;37543;38408;39505;40446;2903;2.5
Auckland;Communication services;23483;24089;24948;25826;2343;3.2
Auckland;Finance and insurance;30393;31017;31823;32609;2216;2.4
Auckland;Property services;19273;19655;20221;20805;1532;2.6
Auckland;Business services;126828;128729;130915;132953;6125;1.6
Auckland;Government admin. and defence;44145;45154;45855;46388;2243;1.7
Auckland;Education;61649;62872;63941;64536;2887;1.5
Auckland;Health and community services;62125;64042;66593;70015;789;4.1
Auckland;Cultural and recreational services;17026;17237;17501;17661;635;1.2
Auckland;Personal and other community services;29022;29693;30653;31449;2428;2.7
Canterbury;Agriculture;19868;20117;20425;20544;677;1.1
Canterbury;Fishing;627;695;776;871;244;11.6
Canterbury;Forestry and logging;322;317;318;320;-2;-0.2
Canterbury;Mining and quarrying;460;469;517;480;20;1.5
Canterbury;Food, beverage and tobacco manufacturing;12494;12595;12741;1287;376;1.0
Canterbury;Textiles and apparel manufacturing;2016;2009;2007;1985;-30;-0.5
Canterbury;Wood and paper products manufacturing;2754;2825;2889;2948;194;2.3
Canterbury;Printing, publishing and recorded media;118;1163;1141;1115;-66;-1.9
Canterbury;Chemicals manufacturing;2731;2723;271;2672;-59;-0.7
Canterbury;Non-metallic mineral products manufacturing;1412;1469;1524;1596;185;4.2
Canterbury;Metal product manufacturing;3958;407;4174;4228;269;2.2
Canterbury;Machinery and equipment manufacturing;8297;8547;8629;8678;381;1.5
Canterbury;Furniture and other manufacturing;1291;1293;1292;1283;-8;-0.2
Canterbury;Electricity, gas and water supply;2154;2221;2281;2326;172;2.6
Canterbury;Construction;3896;42399;45393;48136;9177;7.3
Canterbury;Wholesale trade;15573;15757;15971;16132;559;1.2
