Region;Profession ID;Professio;2016;2017;2018;2019;Growth;Growth 
Northland;111;Chief Executives, General Managers and Legislators;204;2072;2108;2134;94;1.5
Northland;121;Farmers and Farm Managers;3778;3695;3621;3519;-259;-2.3
Northland;131;Advertising, Public Relations and Sales Managers;580;601;624;645;65;3.6
Northland;132;Business Administration Managers;1442;1489;1538;1583;140;3.1
Northland;133;Construction, Distribution and Production Managers;1677;1686;1681;1663;-14;-0.3
Northland;134;Education, Health and Welfare Services Managers;529;548;568;585;56;3.4
Northland;135;ICT Managers;66;68;71;74;8;3.9
Northland;139;Miscellaneous Specialist Managers;278;288;300;310;32;3.7
Northland;141;Accommodation and Hospitality Managers;1117;1114;1117;1114;-3;-0.1
Northland;142;Retail Managers;1301;1303;1315;1322;21;0.5
Northland;149;Miscellaneous Hospitality, Retail and Service Managers;509;528;549;569;60;3.8
Northland;211;Arts Professionals;287;297;305;311;24;2.7
Northland;212;Media Professionals;200;204;210;214;14;2.3
Northland;221;Accountants, Auditors and Company Secretaries;614;623;634;642;29;1.5
Northland;222;Financial Brokers and Dealers, and Investment Advisers;264;268;273;278;13;1.6
Northland;223;Human Resource and Training Professionals;209;214;219;224;15;2.3
Northland;224;Information and Organisation Professionals;564;571;579;584;20;1.2
Northland;225;Sales, Marketing and Public Relations Professionals;227;232;237;241;14;2.1
Northland;231;Air and Marine Transport Professionals;312;307;302;294;-17;-1.9
Northland;232;Architects, Designers, Planners and Surveyors;423;432;442;450;27;2.1
Northland;233;Engineering Professionals;564;573;582;587;23;1.4
Northland;234;Natural and Physical Science Professionals;559;577;599;619;61;3.5
Northland;241;School Teachers;3397;346;3523;3568;171;1.7
Northland;242;Tertiary Education Teachers;289;288;285;281;-8;-0.9
Northland;249;Miscellaneous Education Professionals;230;232;234;235;5;0.7
Northland;251;Health Diagnostic and Promotion Professionals;413;426;443;462;49;3.8
Northland;252;Health Therapy Professionals;390;402;417;436;46;3.8
Northland;253;Medical Practitioners;426;438;453;473;48;3.6
Northland;254;Midwifery and Nursing Professionals;1654;1684;1728;1791;136;2.7
Northland;261;Business and Systems Analysts, and Programmers;275;281;288;294;20;2.3
Northland;262;Database and Systems Administrators, and ICT Security Specialists;131;133;134;135;4;0.9
Northland;263;ICT Network and Support Professionals;83;85;87;88;5;1.9
Northland;271;Legal Professionals;336;344;352;359;23;2.3
Northland;272;Social and Welfare Professionals;1111;1134;116;1188;77;2.3
