region;interest_area;type;year_2006;year_2013
Canterbury;Dwellings;Separate house;157947;161226
Canterbury;Dwellings;Two or more flats/units/townhouses/apartments/houses joined together;35559;3423
Canterbury;Dwellings;Other occupied private dwellings;1308;1791
Canterbury;Dwellings;Occupied private dwelling not further defined;6843;9669
Auckland;Dwellings;Separate house;311664;329763
Auckland;Dwellings;Two or more flats/units/townhouses/apartments/houses joined together;98484;109596
Auckland;Dwellings;Other occupied private dwellings;1746;198
Auckland;Dwellings;Occupied private dwelling not further defined;26715;30702
Wellington;Dwellings;Separate house;121524;126177
Wellington;Dwellings;Two or more flats/units/townhouses/apartments/houses joined together;39783;41628
Wellington;Dwellings;Other occupied private dwellings;459;561
Wellington;Dwellings;Occupied private dwelling not further defined;7083;8799
Auckland;Country of Birth;Australia;20247;1959
Auckland;Country of Birth;Pacific Islands;99846;109674
Auckland;Country of Birth;United Kingdom and Ireland;88683;90432
Auckland;Country of Birth;Europe (excluding United Kingdom and Ireland);25806;27504
Auckland;Country of Birth;North America;9183;10746
Auckland;Country of Birth;Asia;166146;203277
Auckland;Country of Birth;Middle East and Africa;4296;50301
Auckland;Country of Birth;Other;3504;5658
Wellington;Country of Birth;Australia;6918;6912
Wellington;Country of Birth;Pacific Islands;15264;14964
Wellington;Country of Birth;United Kingdom and Ireland;33894;3603
Wellington;Country of Birth;Europe (excluding United Kingdom and Ireland);9324;972
Wellington;Country of Birth;North America;3765;4818
Wellington;Country of Birth;Asia;22893;29892
Wellington;Country of Birth;Middle East and Africa;7677;918
Wellington;Country of Birth;Other;834;1518
Canterbury;Country of Birth;Australia;8517;852
Canterbury;Country of Birth;Pacific Islands;5121;6396
Canterbury;Country of Birth;United Kingdom and Ireland;336;36699
Canterbury;Country of Birth;Europe (excluding United Kingdom and Ireland);9138;9003
Canterbury;Country of Birth;North America;3624;3906
Canterbury;Country of Birth;Asia;23856;27129
Canterbury;Country of Birth;Middle East and Africa;6033;7338
Canterbury;Country of Birth;Other;723;156
Auckland;Education;No Qualification;183975;166782
Auckland;Education;Level 1 Certificate;108102;104454
Auckland;Education;Level 2 Certificate;92259;95241
Auckland;Education;Level 3 Certificate;85101;104508
Auckland;Education;Level 4 Certificate;78816;78876
Auckland;Education;Level 5 or Level 6 Diploma;86436;91923
Auckland;Education;Bachelor Degree and Level 7 Qualification;129165;168924
Auckland;Education;Post-graduate and Honours Degrees;1923;31854
Auckland;Education;Masters Degree;2622;36792
Auckland;Education;Doctorate Degree;5391;7428
Auckland;Education;Overseas Secondary School Qualification;90618;105201
Wellington;Education;No Qualification;64614;55083
Wellington;Education;Level 1 Certificate;39228;37284
Wellington;Education;Level 2 Certificate;36063;3633
Wellington;Education;Level 3 Certificate;32601;38241
Wellington;Education;Level 4 Certificate;29679;29766
Wellington;Education;Level 5 or Level 6 Diploma;31263;30843
Wellington;Education;Bachelor Degree and Level 7 Qualification;50367;60717
Wellington;Education;Post-graduate and Honours Degrees;10536;15963
Wellington;Education;Masters Degree;11262;15768
Wellington;Education;Doctorate Degree;3102;4083
Wellington;Education;Overseas Secondary School Qualification;17973;1965
Canterbury;Education;No Qualification;98436;8544
Canterbury;Education;Level 1 Certificate;56007;55851
Canterbury;Education;Level 2 Certificate;4353;45414
Canterbury;Education;Level 3 Certificate;33903;3726
Canterbury;Education;Level 4 Certificate;39873;41247
Canterbury;Education;Level 5 or Level 6 Diploma;38058;39369
Canterbury;Education;Bachelor Degree and Level 7 Qualification;38142;48099
Canterbury;Education;Post-graduate and Honours Degrees;7635;11037
Canterbury;Education;Masters Degree;6639;9183
Canterbury;Education;Doctorate Degree;2475;315
Canterbury;Education;Overseas Secondary School Qualification;18519;207
Auckland;Male;0-4 Years;483;52449
Auckland;Male;5-9 Years;48672;49935
Auckland;Male;10-14 Years;51171;49452
Auckland;Male;15-19 Years;50286;52101
Auckland;Male;20-24 Years;48813;54063
Auckland;Male;25-29 Years;43023;48048
Auckland;Male;30-34 Years;46578;46752
Auckland;Male;35-39 Years;49794;44874
Auckland;Male;40-44 Years;5082;49824
Auckland;Male;45-49 Years;45156;48957
Auckland;Male;50-54 Years;37515;45738
Auckland;Male;55-59 Years;33642;37923
Auckland;Male;60-64 Years;24927;33138
Auckland;Male;65-69 Years;19365;26379
Auckland;Male;70-74 Years;13926;19299
Auckland;Male;75-79 Years;11472;12846
Auckland;Male;80-84 Years;7314;8913
Auckland;Male;85 Years And Over;4674;6807
Auckland;Female;0-4 Years;45774;49908
Auckland;Female;5-9 Years;46653;47655
Auckland;Female;10-14 Years;4854;46953
Auckland;Female;15-19 Years;49155;50817
Auckland;Female;20-24 Years;50247;54159
Auckland;Female;25-29 Years;4686;51894
Auckland;Female;30-34 Years;52188;51789
Auckland;Female;35-39 Years;5544;50664
Auckland;Female;40-44 Years;54648;56394
Auckland;Female;45-49 Years;47838;5343
